Data,Hora,Temperatura Interna,Temperatura Externa,Temperatura Definida pelo usuário,Poder do Resistor (%),Poder da ventoinha(%)
23/01/2023,09:31:50,"33.94","22.64","25.00","0.00","100.00"
23/01/2023,09:31:54,"33.81","22.64","25.00","0.00","100.00"
23/01/2023,09:31:58,"33.56","22.64","25.00","0.00","100.00"
23/01/2023,09:32:02,"33.31","22.64","25.00","0.00","100.00"
23/01/2023,09:32:06,"32.94","22.64","25.00","0.00","96.64"
23/01/2023,09:32:10,"32.75","22.64","25.00","0.00","100.00"
23/01/2023,09:32:14,"32.44","22.64","25.00","0.00","100.00"
23/01/2023,09:32:19,"0.00","22.64","25.00","100.00","0.00"
23/01/2023,09:32:27,"0.00","22.64","25.00","100.00","0.00"
23/01/2023,09:32:35,"0.00","22.64","25.00","100.00","0.00"
23/01/2023,09:32:50,"0.00","22.64","25.00","100.00","0.00"
23/01/2023,09:32:54,"35.69","22.64","25.00","0.00","100.00"
23/01/2023,09:32:58,"36.38","22.64","25.00","0.00","100.00"
23/01/2023,09:33:04,"0.00","22.64","25.00","100.00","0.00"
23/01/2023,09:33:08,"0.00","22.64","25.00","100.00","0.00"
23/01/2023,09:33:19,"0.00","22.64","25.00","100.00","0.00"
23/01/2023,09:33:27,"0.00","22.92","25.00","100.00","0.00"
23/01/2023,09:33:38,"43.06","22.95","25.00","0.00","100.00"
23/01/2023,09:33:46,"45.69","22.98","25.00","0.00","100.00"
23/01/2023,09:33:54,"30.00","22.99","25.00","100.00","0.00"
23/01/2023,09:34:03,"0.00","23.01","25.00","100.00","0.00"
23/01/2023,09:34:09,"49.31","23.02","25.00","0.00","100.00"
23/01/2023,09:34:14,"50.31","23.02","25.00","0.00","100.00"
23/01/2023,09:34:19,"0.00","23.02","25.00","100.00","0.00"
23/01/2023,09:34:27,"0.00","23.02","25.00","100.00","0.00"
23/01/2023,09:34:35,"30.00","23.02","25.00","0.00","100.00"
23/01/2023,09:34:41,"54.19","23.07","25.00","0.00","100.00"
23/01/2023,09:34:47,"54.31","23.10","25.00","0.00","100.00"
23/01/2023,09:34:51,"54.25","23.10","25.00","0.00","100.00"
23/01/2023,09:34:55,"54.12","23.10","25.00","0.00","100.00"
23/01/2023,09:34:59,"54.00","23.10","25.00","0.00","100.00"
23/01/2023,09:35:03,"53.69","23.10","25.00","0.00","100.00"
23/01/2023,09:35:07,"53.50","23.10","25.00","0.00","100.00"
23/01/2023,09:35:11,"53.19","23.10","25.00","0.00","100.00"
23/01/2023,09:35:15,"52.94","23.10","25.00","0.00","100.00"
23/01/2023,09:35:19,"52.56","23.10","25.00","0.00","100.00"
23/01/2023,09:35:23,"52.19","23.10","25.00","0.00","100.00"
23/01/2023,09:35:27,"51.88","23.10","25.00","0.00","100.00"
23/01/2023,09:35:31,"51.50","23.10","25.00","0.00","100.00"
23/01/2023,09:35:35,"51.19","23.10","25.00","0.00","100.00"
23/01/2023,09:35:39,"50.75","23.10","25.00","0.00","100.00"
23/01/2023,09:35:43,"50.44","23.10","25.00","0.00","100.00"
23/01/2023,09:35:47,"49.94","23.10","25.00","0.00","100.00"
23/01/2023,09:35:51,"49.50","23.10","25.00","0.00","100.00"
23/01/2023,09:35:55,"49.12","23.10","25.00","0.00","100.00"
23/01/2023,09:35:59,"48.62","23.10","25.00","0.00","100.00"
23/01/2023,09:36:03,"48.31","23.10","25.00","0.00","100.00"
23/01/2023,09:36:08,"47.81","23.10","25.00","0.00","100.00"
23/01/2023,09:36:12,"47.50","23.10","25.00","0.00","100.00"
23/01/2023,09:36:16,"47.06","23.10","25.00","0.00","100.00"
23/01/2023,09:36:20,"46.75","23.10","25.00","0.00","100.00"
23/01/2023,09:36:24,"46.19","23.10","25.00","0.00","100.00"
23/01/2023,09:36:28,"45.81","23.10","25.00","0.00","100.00"
23/01/2023,09:36:32,"45.50","23.10","25.00","0.00","100.00"
23/01/2023,09:36:36,"45.06","23.10","25.00","0.00","100.00"
23/01/2023,09:36:40,"44.69","23.10","25.00","0.00","100.00"
23/01/2023,09:36:44,"44.31","23.10","25.00","0.00","100.00"
23/01/2023,09:36:48,"44.00","23.10","25.00","0.00","100.00"
23/01/2023,09:36:52,"43.56","23.10","25.00","0.00","100.00"
23/01/2023,09:36:56,"43.12","23.10","25.00","0.00","100.00"
23/01/2023,09:37:01,"42.69","23.10","38.00","100.00","0.00"
23/01/2023,09:37:05,"42.44","23.10","38.00","0.00","53.12"
23/01/2023,09:37:09,"42.50","23.10","38.00","0.00","100.00"
23/01/2023,09:37:13,"42.50","23.10","38.00","0.00","100.00"
23/01/2023,09:37:17,"42.38","23.10","38.00","0.00","100.00"
