Data,Hora,Temperatura Interna,Temperatura Externa,Temperatura Definida pelo usuário,Poder do Resistor (%),Poder da ventoinha(%)
22/01/2023,22:40:36,"39.06","22.67","30.00","0.00","100.00"
22/01/2023,22:40:40,"39.06","22.67","30.00","0.00","100.00"
22/01/2023,22:40:43,"38.75","22.67","30.00","0.00","100.00"
22/01/2023,22:40:47,"38.38","22.67","30.00","0.00","100.00"
22/01/2023,22:40:50,"38.06","22.67","30.00","0.00","100.00"
22/01/2023,22:40:54,"37.75","22.67","30.00","0.00","100.00"
22/01/2023,22:40:57,"37.31","22.67","30.00","0.00","56.05"
22/01/2023,22:41:01,"37.00","22.67","30.00","0.00","98.07"
22/01/2023,22:41:04,"36.81","22.67","30.00","0.00","100.00"
22/01/2023,22:41:08,"36.56","22.67","30.00","0.00","100.00"
22/01/2023,22:41:11,"36.31","22.67","30.00","0.00","100.00"
22/01/2023,22:41:15,"35.88","22.67","30.00","0.00","40.00"
22/01/2023,22:41:18,"35.75","22.67","30.00","0.00","100.00"
22/01/2023,22:41:22,"35.62","22.67","30.00","0.00","100.00"
22/01/2023,22:41:25,"35.44","22.67","30.00","0.00","100.00"
22/01/2023,22:41:29,"35.19","22.67","30.00","0.00","75.62"
22/01/2023,22:41:32,"34.88","22.67","30.00","0.00","41.25"
22/01/2023,22:41:36,"34.75","22.67","30.00","0.00","100.00"
22/01/2023,22:41:39,"34.62","22.67","30.00","0.00","100.00"
22/01/2023,22:41:43,"34.50","22.67","30.00","0.00","100.00"
22/01/2023,22:41:46,"34.25","22.67","30.00","0.00","47.50"
22/01/2023,22:41:50,"34.06","22.67","30.00","0.00","66.88"
22/01/2023,22:41:53,"34.00","22.67","30.00","0.00","100.00"
22/01/2023,22:41:57,"33.88","22.67","30.00","0.00","86.25"
22/01/2023,22:42:00,"33.69","22.67","30.00","0.00","55.62"
22/01/2023,22:42:04,"33.56","22.67","30.00","0.00","76.88"
22/01/2023,22:42:07,"33.44","22.67","30.00","0.00","73.12"
22/01/2023,22:42:11,"33.38","22.67","30.00","0.00","96.25"
22/01/2023,22:42:14,"33.19","22.67","30.00","0.00","40.62"
22/01/2023,22:42:18,"33.06","22.67","30.00","0.00","61.88"
22/01/2023,22:42:21,"32.94","22.67","30.00","0.00","58.12"
22/01/2023,22:42:25,"32.94","22.67","30.00","0.00","100.00"
22/01/2023,22:42:28,"32.81","22.67","30.00","0.00","54.38"
22/01/2023,22:42:32,"32.62","22.67","30.00","0.00","40.00"
22/01/2023,22:42:35,"32.56","22.67","30.00","0.00","71.88"
22/01/2023,22:42:39,"32.50","22.67","30.00","0.00","70.00"
22/01/2023,22:42:42,"32.44","22.67","30.00","0.00","68.12"
22/01/2023,22:42:46,"32.31","22.67","30.00","0.00","40.00"
22/01/2023,22:42:49,"32.19","22.67","30.00","0.00","40.00"
22/01/2023,22:42:53,"32.12","22.67","30.00","0.00","58.75"
22/01/2023,22:42:56,"32.12","22.67","30.00","0.00","83.75"
22/01/2023,22:43:00,"32.00","22.67","30.00","0.00","40.00"
22/01/2023,22:43:03,"31.94","22.67","30.00","0.00","53.12"
22/01/2023,22:43:07,"31.81","22.67","30.00","0.00","40.00"
22/01/2023,22:43:10,"31.81","22.67","30.00","0.00","74.38"
22/01/2023,22:43:14,"31.69","22.67","30.00","0.00","40.00"
22/01/2023,22:43:17,"31.56","22.67","30.00","0.00","40.00"
22/01/2023,22:43:21,"31.44","22.67","30.00","0.00","40.00"
22/01/2023,22:43:24,"31.31","22.67","30.00","0.00","40.00"
22/01/2023,22:43:28,"31.25","22.67","30.00","0.00","40.00"
22/01/2023,22:43:31,"31.19","22.67","30.00","0.00","40.00"
22/01/2023,22:43:35,"31.12","22.67","30.00","0.00","40.00"
22/01/2023,22:43:38,"31.00","22.67","30.00","0.00","0.00"
22/01/2023,22:43:42,"31.00","22.67","30.00","0.00","50.00"
22/01/2023,22:43:45,"30.94","22.67","30.00","0.00","40.00"
22/01/2023,22:43:49,"30.94","22.67","30.00","0.00","48.12"
22/01/2023,22:43:52,"30.81","22.67","30.00","5.62","0.00"
22/01/2023,22:43:56,"30.75","22.67","30.00","0.00","40.00"
22/01/2023,22:43:59,"30.75","22.67","30.00","0.00","42.50"
22/01/2023,22:44:03,"30.75","22.67","30.00","0.00","42.50"
22/01/2023,22:44:06,"30.69","22.67","30.00","0.00","40.00"
22/01/2023,22:44:10,"30.69","22.67","30.00","0.00","40.62"
22/01/2023,22:44:13,"30.62","22.67","30.00","0.00","40.00"
22/01/2023,22:44:17,"30.56","22.67","30.00","0.00","40.00"
22/01/2023,22:44:20,"30.50","22.67","30.00","0.00","40.00"
22/01/2023,22:44:24,"30.44","22.67","30.00","0.00","40.00"
22/01/2023,22:44:27,"30.38","22.67","30.00","0.00","40.00"
22/01/2023,22:44:31,"30.31","22.67","30.00","0.00","40.00"
22/01/2023,22:44:34,"30.25","22.67","30.00","0.00","40.00"
22/01/2023,22:44:38,"30.12","22.67","30.00","26.25","0.00"
22/01/2023,22:44:41,"30.12","22.67","30.00","0.00","40.00"
22/01/2023,22:44:45,"30.12","22.67","30.00","0.00","40.00"
22/01/2023,22:44:48,"30.12","22.67","30.00","0.00","40.00"
22/01/2023,22:44:52,"30.12","22.67","30.00","0.00","40.00"
22/01/2023,22:44:55,"30.12","22.67","30.00","0.00","40.00"
22/01/2023,22:44:59,"30.06","22.67","30.00","3.12","0.00"
22/01/2023,22:45:02,"30.06","22.67","30.00","0.00","40.00"
22/01/2023,22:45:06,"30.06","22.67","30.00","0.00","40.00"
22/01/2023,22:45:09,"30.06","22.67","30.00","0.00","40.00"
