Data,Hora,Temperatura Interna,Temperatura Externa,Temperatura Definida pelo usuário,Poder do Resistor (%),Poder da ventoinha(%)
23/01/2023,19:28:03,23,0,25,100,0
23/01/2023,19:28:07,23,0,25,"60,8",0
23/01/2023,19:28:11,23,0,25,"61,2",0
23/01/2023,19:28:15,23,0,25,"61,6",0
23/01/2023,19:28:19,"23,06",0,25,"35,11",0
23/01/2023,19:28:23,"23,06",0,25,"60,5",0
23/01/2023,19:28:27,"23,12",0,25,34,0
23/01/2023,19:28:31,"23,12",0,25,"59,38",0
23/01/2023,19:28:35,"23,19",0,25,"32,86",0
23/01/2023,19:28:39,"23,25",0,25,"31,34",0
23/01/2023,19:28:43,"23,31",0,25,"29,8",0
23/01/2023,19:28:47,"23,38",0,25,"28,25",0
23/01/2023,19:28:51,"23,5",0,25,"-0,2",40
23/01/2023,19:28:55,"23,56",0,25,"23,21",0
23/01/2023,19:28:59,"23,69",0,25,"-5,28",40
23/01/2023,19:29:03,"23,75",0,25,"18,1",0
23/01/2023,19:29:07,"23,88",0,25,"-10,43",40
23/01/2023,19:29:11,"23,94",0,25,"12,91",0
23/01/2023,19:29:15,"24,06",0,25,"-15,65",40
23/01/2023,19:29:19,"24,19",0,25,"-19,24",40
23/01/2023,19:29:23,"24,31",0,25,"-22,85",40
23/01/2023,19:29:27,"24,44",0,25,"-26,49",40
23/01/2023,19:29:31,"24,56",0,25,"-30,15",40
23/01/2023,19:29:35,"24,69",0,25,"-33,84",40
23/01/2023,19:29:39,"24,75",0,25,"-10,66",40
23/01/2023,19:29:43,"24,88",0,25,"-39,39",40
23/01/2023,19:29:47,"24,94",0,25,"-16,25",40
23/01/2023,19:29:51,25,0,25,"-18,12",40
23/01/2023,19:29:55,"25,06",0,25,"-20,01",40
23/01/2023,19:29:59,"25,19",0,25,"-48,8","48,8"
23/01/2023,19:30:03,"25,31",0,25,"-52,61","52,61"
23/01/2023,19:30:07,"25,38",0,25,"-29,56",40
23/01/2023,19:30:11,"25,44",0,25,"-31,52",40
23/01/2023,19:30:15,"25,5",0,25,"-33,5",40
23/01/2023,19:30:19,"25,56",0,25,"-35,49",40
23/01/2023,19:30:23,"25,62",0,25,"-37,49",40
23/01/2023,19:30:27,"25,69",0,25,"-39,5",40
23/01/2023,19:30:31,"25,75",0,25,"-41,53","41,53"
23/01/2023,19:30:35,"25,81",0,25,"-43,56","43,56"
