Data,Hora,Temperatura Interna,Temperatura Externa,Temperatura Definida pelo usuário,Poder do Resistor (%),Poder da ventoinha(%)
23/01/2023,17:25:27,"32.88","0.00","45.00","100.00","0.00"
23/01/2023,17:25:31,"33.06","0.00","45.00","100.00","0.00"
23/01/2023,17:25:34,"33.19","0.00","45.00","100.00","0.00"
23/01/2023,17:25:38,"33.31","0.00","45.00","100.00","0.00"
23/01/2023,17:25:41,"33.44","0.00","45.00","100.00","0.00"
23/01/2023,17:25:45,"33.62","0.00","45.00","100.00","0.00"
23/01/2023,17:25:48,"33.81","0.00","45.00","100.00","0.00"
23/01/2023,17:25:53,"0.00","0.00","45.00","100.00","0.00"
23/01/2023,17:25:56,"34.19","0.00","45.00","-100.00","100.00"
23/01/2023,17:26:00,"34.31","0.00","45.00","100.00","0.00"
23/01/2023,17:26:03,"34.50","0.00","45.00","100.00","0.00"
23/01/2023,17:26:07,"34.69","0.00","45.00","100.00","0.00"
23/01/2023,17:26:10,"34.88","0.00","45.00","100.00","0.00"
23/01/2023,17:26:14,"35.06","0.00","45.00","100.00","0.00"
23/01/2023,17:26:17,"35.25","0.00","45.00","100.00","0.00"
23/01/2023,17:26:21,"35.50","0.00","45.00","100.00","0.00"
23/01/2023,17:26:24,"35.69","0.00","45.00","100.00","0.00"
23/01/2023,17:26:28,"35.88","0.00","45.00","100.00","0.00"
23/01/2023,17:26:31,"36.00","0.00","45.00","100.00","0.00"
23/01/2023,17:26:35,"36.31","0.00","45.00","100.00","0.00"
23/01/2023,17:26:38,"36.50","0.00","45.00","100.00","0.00"
23/01/2023,17:26:42,"36.75","0.00","45.00","100.00","0.00"
23/01/2023,17:26:45,"36.94","0.00","45.00","100.00","0.00"
23/01/2023,17:26:49,"37.31","0.00","45.00","100.00","0.00"
23/01/2023,17:26:52,"37.50","0.00","45.00","100.00","0.00"
23/01/2023,17:26:56,"37.75","0.00","45.00","100.00","0.00"
23/01/2023,17:26:59,"38.06","0.00","45.00","100.00","0.00"
23/01/2023,17:27:04,"38.31","0.00","45.00","100.00","0.00"
23/01/2023,17:27:08,"38.69","0.00","45.00","59.38","0.00"
23/01/2023,17:27:11,"38.94","0.00","45.00","100.00","0.00"
23/01/2023,17:27:15,"39.19","0.00","45.00","94.38","0.00"
23/01/2023,17:27:18,"39.44","0.00","45.00","86.88","0.00"
23/01/2023,17:27:22,"39.81","0.00","45.00","25.62","0.00"
23/01/2023,17:27:25,"40.06","0.00","45.00","68.12","0.00"
23/01/2023,17:27:29,"40.38","0.00","45.00","33.75","0.00"
23/01/2023,17:27:32,"40.62","0.00","45.00","51.25","0.00"
23/01/2023,17:27:36,"41.00","0.00","45.00","-10.00","40.00"
23/01/2023,17:27:39,"41.25","0.00","45.00","32.50","0.00"
23/01/2023,17:27:43,"41.50","0.00","45.00","25.00","0.00"
23/01/2023,17:27:46,"41.75","0.00","45.00","17.50","0.00"
23/01/2023,17:27:50,"42.12","0.00","45.00","-43.75","43.75"
23/01/2023,17:27:53,"42.38","0.00","45.00","-1.25","40.00"
23/01/2023,17:27:57,"42.56","0.00","45.00","18.12","0.00"
23/01/2023,17:28:00,"42.81","0.00","45.00","-14.38","40.00"
23/01/2023,17:28:04,"43.06","0.00","45.00","-21.88","40.00"
23/01/2023,17:28:07,"43.38","0.00","45.00","-56.25","56.25"
23/01/2023,17:28:11,"43.56","0.00","45.00","-11.88","40.00"
23/01/2023,17:28:14,"43.75","0.00","45.00","-17.50","40.00"
23/01/2023,17:28:18,"43.94","0.00","45.00","-23.12","40.00"
23/01/2023,17:28:21,"44.19","0.00","45.00","-55.62","55.62"
23/01/2023,17:28:25,"44.38","0.00","45.00","-36.25","40.00"
23/01/2023,17:28:28,"44.56","0.00","45.00","-41.88","41.88"
23/01/2023,17:28:32,"44.75","0.00","45.00","-47.50","47.50"
23/01/2023,17:28:35,"44.94","0.00","45.00","-53.12","53.12"
23/01/2023,17:28:39,"45.06","0.00","45.00","-31.89","40.00"
23/01/2023,17:28:42,"45.19","0.00","45.00","-35.67","40.00"
23/01/2023,17:28:46,"45.38","0.00","45.00","-66.38","66.38"
23/01/2023,17:28:49,"45.50","0.00","45.00","-45.22","45.22"
23/01/2023,17:28:53,"45.62","0.00","45.00","-49.10","49.10"
23/01/2023,17:28:56,"45.69","0.00","45.00","-26.11","40.00"
23/01/2023,17:29:00,"45.81","0.00","45.00","-55.03","55.03"
23/01/2023,17:29:03,"45.88","0.00","45.00","-32.08","40.00"
23/01/2023,17:29:07,"45.94","0.00","45.00","-34.14","40.00"
23/01/2023,17:29:10,"46.06","0.00","45.00","-63.10","63.10"
23/01/2023,17:29:14,"46.12","0.00","45.00","-40.20","40.20"
23/01/2023,17:29:17,"46.19","0.00","45.00","-42.31","42.31"
23/01/2023,17:29:21,"46.25","0.00","45.00","-44.44","44.44"
23/01/2023,17:29:24,"46.31","0.00","45.00","-46.58","46.58"
23/01/2023,17:29:28,"46.31","0.00","45.00","-21.84","40.00"
23/01/2023,17:29:31,"46.38","0.00","45.00","-48.99","48.99"
23/01/2023,17:29:35,"46.38","0.00","45.00","-24.26","40.00"
23/01/2023,17:29:38,"46.38","0.00","45.00","-24.54","40.00"
23/01/2023,17:29:42,"46.38","0.00","45.00","-24.81","40.00"
23/01/2023,17:29:45,"46.44","0.00","45.00","-51.97","51.97"
23/01/2023,17:29:49,"46.44","0.00","45.00","-27.26","40.00"
23/01/2023,17:29:52,"46.38","0.00","45.00","-0.66","40.00"
23/01/2023,17:29:56,"46.38","0.00","45.00","-25.94","40.00"
23/01/2023,17:29:59,"46.38","0.00","45.00","-26.21","40.00"
23/01/2023,17:30:03,"46.38","0.00","45.00","-26.49","40.00"
23/01/2023,17:30:06,"46.31","0.00","45.00","0.12","0.00"
23/01/2023,17:30:10,"46.31","0.00","45.00","-25.14","40.00"
23/01/2023,17:30:13,"46.25","0.00","45.00","1.49","0.00"
23/01/2023,17:30:17,"46.25","0.00","45.00","-23.76","40.00"
23/01/2023,17:30:20,"46.19","0.00","45.00","2.88","0.00"
